UBIGEO;DEPARTAMENTO;PROVINCIA;DISTRITO;TIPO_ELECCION;MESA;ESTADO_MESA;UBICACION_EN_CEDULA;TIPO_AGRUPACION;CODIGO_AGRUPACION;AGRUPACION_POLITICA;VOTOS_OBTENIDOS;ELECTORES_HABILES;VOTOS_BLANCOS;VOTOS_NULOS;VOTOS_IMPUG
020804;ANCASH;HUARI;HUACACHI;MUNICIPAL DISTRITAL;161355;ACTA ELECTORAL RESUELTA;1;NACIONAL;00000003;UNION POR EL PERU;0;122;0;0;0
020804;ANCASH;HUARI;HUACACHI;MUNICIPAL DISTRITAL;161355;ACTA ELECTORAL RESUELTA;2;NACIONAL;00000004;ALIANZA PARA EL PROGRESO;0;122;0;0;0
020804;ANCASH;HUARI;HUACACHI;MUNICIPAL DISTRITAL;161355;ACTA ELECTORAL RESUELTA;3;NACIONAL;00000001;PARTIDO DEMOCRATICO SOMOS PERU;54;122;0;0;0
020804;ANCASH;HUARI;HUACACHI;MUNICIPAL DISTRITAL;161355;ACTA ELECTORAL RESUELTA;4;REGIONAL;00000002;MOVIMIENTO ACCION NACIONALISTA PERUANO;0;122;0;0;0
020804;ANCASH;HUARI;HUACACHI;MUNICIPAL DISTRITAL;161356;ACTA ELECTORAL RESUELTA;1;NACIONAL;00000003;UNION POR EL PERU;1;201;1;4;0
020804;ANCASH;HUARI;HUACACHI;MUNICIPAL DISTRITAL;161356;ACTA ELECTORAL RESUELTA;2;NACIONAL;00000004;ALIANZA PARA EL PROGRESO;1;201;1;4;0
020804;ANCASH;HUARI;HUACACHI;MUNICIPAL DISTRITAL;161356;ACTA ELECTORAL RESUELTA;3;NACIONAL;00000001;PARTIDO DEMOCRATICO SOMOS PERU;65;201;1;4;0
020804;ANCASH;HUARI;HUACACHI;MUNICIPAL DISTRITAL;161356;ACTA ELECTORAL RESUELTA;4;REGIONAL;00000002;MOVIMIENTO ACCION NACIONALISTA PERUANO;2;201;1;4;0
020804;ANCASH;HUARI;HUACACHI;MUNICIPAL DISTRITAL;161358;ACTA ELECTORAL RESUELTA;1;NACIONAL;00000003;UNION POR EL PERU;1;192;2;2;0
020804;ANCASH;HUARI;HUACACHI;MUNICIPAL DISTRITAL;161358;ACTA ELECTORAL RESUELTA;2;NACIONAL;00000004;ALIANZA PARA EL PROGRESO;2;192;2;2;0
020804;ANCASH;HUARI;HUACACHI;MUNICIPAL DISTRITAL;161358;ACTA ELECTORAL RESUELTA;3;NACIONAL;00000001;PARTIDO DEMOCRATICO SOMOS PERU;70;192;2;2;0
020804;ANCASH;HUARI;HUACACHI;MUNICIPAL DISTRITAL;161358;ACTA ELECTORAL RESUELTA;4;REGIONAL;00000002;MOVIMIENTO ACCION NACIONALISTA PERUANO;0;192;2;2;0
020804;ANCASH;HUARI;HUACACHI;MUNICIPAL DISTRITAL;161359;ACTA ELECTORAL RESUELTA;1;NACIONAL;00000003;UNION POR EL PERU;0;181;0;4;0
020804;ANCASH;HUARI;HUACACHI;MUNICIPAL DISTRITAL;161359;ACTA ELECTORAL RESUELTA;2;NACIONAL;00000004;ALIANZA PARA EL PROGRESO;2;181;0;4;0
020804;ANCASH;HUARI;HUACACHI;MUNICIPAL DISTRITAL;161359;ACTA ELECTORAL RESUELTA;3;NACIONAL;00000001;PARTIDO DEMOCRATICO SOMOS PERU;61;181;0;4;0
020804;ANCASH;HUARI;HUACACHI;MUNICIPAL DISTRITAL;161359;ACTA ELECTORAL RESUELTA;4;REGIONAL;00000002;MOVIMIENTO ACCION NACIONALISTA PERUANO;1;181;0;4;0
020804;ANCASH;HUARI;HUACACHI;MUNICIPAL DISTRITAL;161361;ACTA ELECTORAL RESUELTA;1;NACIONAL;00000003;UNION POR EL PERU;1;163;0;0;0
020804;ANCASH;HUARI;HUACACHI;MUNICIPAL DISTRITAL;161361;ACTA ELECTORAL RESUELTA;2;NACIONAL;00000004;ALIANZA PARA EL PROGRESO;3;163;0;0;0
020804;ANCASH;HUARI;HUACACHI;MUNICIPAL DISTRITAL;161361;ACTA ELECTORAL RESUELTA;3;NACIONAL;00000001;PARTIDO DEMOCRATICO SOMOS PERU;65;163;0;0;0
020804;ANCASH;HUARI;HUACACHI;MUNICIPAL DISTRITAL;161361;ACTA ELECTORAL RESUELTA;4;REGIONAL;00000002;MOVIMIENTO ACCION NACIONALISTA PERUANO;0;163;0;0;0
020804;ANCASH;HUARI;HUACACHI;MUNICIPAL DISTRITAL;161363;ACTA ELECTORAL RESUELTA;1;NACIONAL;00000003;UNION POR EL PERU;1;149;0;1;0
020804;ANCASH;HUARI;HUACACHI;MUNICIPAL DISTRITAL;161363;ACTA ELECTORAL RESUELTA;2;NACIONAL;00000004;ALIANZA PARA EL PROGRESO;0;149;0;1;0
020804;ANCASH;HUARI;HUACACHI;MUNICIPAL DISTRITAL;161363;ACTA ELECTORAL RESUELTA;3;NACIONAL;00000001;PARTIDO DEMOCRATICO SOMOS PERU;62;149;0;1;0
020804;ANCASH;HUARI;HUACACHI;MUNICIPAL DISTRITAL;161363;ACTA ELECTORAL RESUELTA;4;REGIONAL;00000002;MOVIMIENTO ACCION NACIONALISTA PERUANO;0;149;0;1;0
020804;ANCASH;HUARI;HUACACHI;MUNICIPAL DISTRITAL;161364;ACTA ELECTORAL RESUELTA;1;NACIONAL;00000003;UNION POR EL PERU;1;170;0;1;0
020804;ANCASH;HUARI;HUACACHI;MUNICIPAL DISTRITAL;161364;ACTA ELECTORAL RESUELTA;2;NACIONAL;00000004;ALIANZA PARA EL PROGRESO;1;170;0;1;0
020804;ANCASH;HUARI;HUACACHI;MUNICIPAL DISTRITAL;161364;ACTA ELECTORAL RESUELTA;3;NACIONAL;00000001;PARTIDO DEMOCRATICO SOMOS PERU;71;170;0;1;0
020804;ANCASH;HUARI;HUACACHI;MUNICIPAL DISTRITAL;161364;ACTA ELECTORAL RESUELTA;4;REGIONAL;00000002;MOVIMIENTO ACCION NACIONALISTA PERUANO;2;170;0;1;0
020804;ANCASH;HUARI;HUACACHI;MUNICIPAL DISTRITAL;201610;ACTA ELECTORAL RESUELTA;1;NACIONAL;00000003;UNION POR EL PERU;2;177;1;0;0
020804;ANCASH;HUARI;HUACACHI;MUNICIPAL DISTRITAL;201610;ACTA ELECTORAL RESUELTA;2;NACIONAL;00000004;ALIANZA PARA EL PROGRESO;1;177;1;0;0
020804;ANCASH;HUARI;HUACACHI;MUNICIPAL DISTRITAL;201610;ACTA ELECTORAL RESUELTA;3;NACIONAL;00000001;PARTIDO DEMOCRATICO SOMOS PERU;79;177;1;0;0
020804;ANCASH;HUARI;HUACACHI;MUNICIPAL DISTRITAL;201610;ACTA ELECTORAL RESUELTA;4;REGIONAL;00000002;MOVIMIENTO ACCION NACIONALISTA PERUANO;1;177;1;0;0
020804;ANCASH;HUARI;HUACACHI;MUNICIPAL DISTRITAL;225588;ACTA ELECTORAL RESUELTA;1;NACIONAL;00000003;UNION POR EL PERU;1;174;0;0;0
020804;ANCASH;HUARI;HUACACHI;MUNICIPAL DISTRITAL;225588;ACTA ELECTORAL RESUELTA;2;NACIONAL;00000004;ALIANZA PARA EL PROGRESO;4;174;0;0;0
020804;ANCASH;HUARI;HUACACHI;MUNICIPAL DISTRITAL;225588;ACTA ELECTORAL RESUELTA;3;NACIONAL;00000001;PARTIDO DEMOCRATICO SOMOS PERU;75;174;0;0;0
020804;ANCASH;HUARI;HUACACHI;MUNICIPAL DISTRITAL;225588;ACTA ELECTORAL RESUELTA;4;REGIONAL;00000002;MOVIMIENTO ACCION NACIONALISTA PERUANO;1;174;0;0;0
020804;ANCASH;HUARI;HUACACHI;MUNICIPAL DISTRITAL;274681;ACTA ELECTORAL RESUELTA;1;NACIONAL;00000003;UNION POR EL PERU;0;162;0;1;0
020804;ANCASH;HUARI;HUACACHI;MUNICIPAL DISTRITAL;274681;ACTA ELECTORAL RESUELTA;2;NACIONAL;00000004;ALIANZA PARA EL PROGRESO;1;162;0;1;0
020804;ANCASH;HUARI;HUACACHI;MUNICIPAL DISTRITAL;274681;ACTA ELECTORAL RESUELTA;3;NACIONAL;00000001;PARTIDO DEMOCRATICO SOMOS PERU;53;162;0;1;0
020804;ANCASH;HUARI;HUACACHI;MUNICIPAL DISTRITAL;274681;ACTA ELECTORAL RESUELTA;4;REGIONAL;00000002;MOVIMIENTO ACCION NACIONALISTA PERUANO;0;162;0;1;0
020804;ANCASH;HUARI;HUACACHI;MUNICIPAL DISTRITAL;288606;ACTA ELECTORAL RESUELTA;1;NACIONAL;00000003;UNION POR EL PERU;2;143;0;0;0
020804;ANCASH;HUARI;HUACACHI;MUNICIPAL DISTRITAL;288606;ACTA ELECTORAL RESUELTA;2;NACIONAL;00000004;ALIANZA PARA EL PROGRESO;1;143;0;0;0
020804;ANCASH;HUARI;HUACACHI;MUNICIPAL DISTRITAL;288606;ACTA ELECTORAL RESUELTA;3;NACIONAL;00000001;PARTIDO DEMOCRATICO SOMOS PERU;31;143;0;0;0
020804;ANCASH;HUARI;HUACACHI;MUNICIPAL DISTRITAL;288606;ACTA ELECTORAL RESUELTA;4;REGIONAL;00000002;MOVIMIENTO ACCION NACIONALISTA PERUANO;1;143;0;0;0
020804;ANCASH;HUARI;HUACACHI;MUNICIPAL DISTRITAL;310103;ACTA ELECTORAL RESUELTA;1;NACIONAL;00000003;UNION POR EL PERU;1;144;0;1;0
020804;ANCASH;HUARI;HUACACHI;MUNICIPAL DISTRITAL;310103;ACTA ELECTORAL RESUELTA;2;NACIONAL;00000004;ALIANZA PARA EL PROGRESO;2;144;0;1;0
020804;ANCASH;HUARI;HUACACHI;MUNICIPAL DISTRITAL;310103;ACTA ELECTORAL RESUELTA;3;NACIONAL;00000001;PARTIDO DEMOCRATICO SOMOS PERU;35;144;0;1;0
020804;ANCASH;HUARI;HUACACHI;MUNICIPAL DISTRITAL;310103;ACTA ELECTORAL RESUELTA;4;REGIONAL;00000002;MOVIMIENTO ACCION NACIONALISTA PERUANO;0;144;0;1;0
020804;ANCASH;HUARI;HUACACHI;MUNICIPAL DISTRITAL;310108;ACTA ELECTORAL RESUELTA;1;NACIONAL;00000003;UNION POR EL PERU;0;136;0;0;0
020804;ANCASH;HUARI;HUACACHI;MUNICIPAL DISTRITAL;310108;ACTA ELECTORAL RESUELTA;2;NACIONAL;00000004;ALIANZA PARA EL PROGRESO;1;136;0;0;0
020804;ANCASH;HUARI;HUACACHI;MUNICIPAL DISTRITAL;310108;ACTA ELECTORAL RESUELTA;3;NACIONAL;00000001;PARTIDO DEMOCRATICO SOMOS PERU;28;136;0;0;0
020804;ANCASH;HUARI;HUACACHI;MUNICIPAL DISTRITAL;310108;ACTA ELECTORAL RESUELTA;4;REGIONAL;00000002;MOVIMIENTO ACCION NACIONALISTA PERUANO;0;136;0;0;0
